Joshua,0x1000005
the pass guard,0x10000d5
a guard,0x10000d6
job,0x10000d7
I guard the passages.,0x10000d8
heal,0x10000d9
Fine.,0x10000da
pass,0x10000db
There is no danger.,0x10000dc
dang,0x10000dd
"Well not compared to a dungeon altar room!<q>Hast thou solved the altars?<y>Good.<n>From them a three part key is gained, needed to enter the chamber of the codex!",0x10000de
a gate guard,0x10000df
a guard,0x10000e0
job,0x10000e1
A gate guard,0x10000e2
heal,0x10000e3
Top notch.,0x10000e4
gate,0x10000e5
To the abbey.,0x10000e6
abbe,0x10000e7
"Here, in the oak grove many find the meaning of peace and love!<q>Art thou saturated with love?<y><@lose_humility>Then thou need not be here!<n><@gain_humility>Visit the small shrine within the abbey!",0x10000e8
Derek the Bard,0x10000e9
a young bard playing a lute,0x10000ea
job,0x10000eb
"I am a bard, I sing songs.",0x10000ec
heal,0x10000ed
Pretty good.,0x10000ee
song,0x10000ef
"Oh, all types.<q>Dost thou like this one?<y>Thanks, I just wrote it!<n>Alas, it was new.",0x10000f0
cand,0x10000f1
Search ye well the shrine of love found in a secret place hidden off Lock Lake!,0x10000f2
Chinup,0x10000f3
a small but stately child,0x10000f4
job,0x10000f5
I welcome thee unto the Abbey!<q>Art thou here in search of love?<y>Perhaps then the oak grove!<n>Oh.,0x10000f6
heal,0x10000f7
"Very well, thank you!",0x10000f8
grov,0x10000f9
A grove of oak.,0x10000fa
oak,0x10000fb
The people therein seek the wisdom of love!,0x10000fc
Diane,0x10000fd
a tall woman,0x10000fe
job,0x10000ff
I counsel those who enter the grove.,0x1000100
heal,0x1000101
Good.,0x1000102
coun,0x1000103
"Herein thou may find insights into love, within thyself or the others here in the grove.",0x1000104
love,0x1000105
Ask the others.<q>Art thou the most loving person?<y><@lose_humility>Doubtful!<n><@gain_humility>Strive for love!,0x1000106
Benjamin,0x1000107
a solemn bard,0x1000108
job,0x1000109
I relate love and compassion.,0x100010a
heal,0x100010b
Fine.<q>Art thou well?<y>Very good.<n>Too bad...,0x100010c
love,0x100010d
"When the three combine in eight ways, love alone is compassion.",0x100010e
comp,0x100010f
"Of the eight avatar attributes, compassion is derived from love alone.",0x1000110
Deirdre,0x1000111
"a druid, lost in thought",0x1000112
job,0x1000113
I ponder love and justice.,0x1000114
heal,0x1000115
Fine.<q>Art thou?<y>Most good.<n>I see.,0x1000116
love,0x1000117
"When three build eight, truth tempered by love becomes justice!",0x1000118
just,0x1000119
Justice is one of the eight avatar virtues and derives from truth and love.,0x100011a
Thomas,0x100011b
a hearty tinker,0x100011c
job,0x100011d
I am thinking of love's part in sacrifice.,0x100011e
heal,0x100011f
Fine.<q>Thyself?<y>Good.<n>Shame.,0x1000120
love,0x1000121
Love of others and the courage to face even death is self-sacrifice.,0x1000122
sacr,0x1000123
Sacrifice is built upon the motive of love and the ability of courage.,0x1000124
Lastro,0x1000125
a solemn ranger,0x1000126
job,0x1000127
I follow the spiritual path.,0x1000128
heal,0x1000129
Most well.<q>And thee?<y>Good.<n>So sad.,0x100012a
spir,0x100012b
"My spirituality is not a religion, but a searching to know and improve my own inner being.",0x100012c
bein,0x100012d
"My being is based on my own truth, love and courage.",0x100012e
Humlock,0x100012f
a mumbling beggar,0x1000130
job,0x1000132
I seek salvation.,0x1000133
heal,0x1000134
Not so good.,0x1000135
mumb,0x1000136
The...ankh... spoke to me!,0x1000137
salv,0x1000138
"I am but a poor, destitute beggar. I have nothing!<q>Will you give me some money?<y>I would be soooo grateful....<n>But I am in most dire need!",0x1000139
Malchor,0x100013a
a bold paladin,0x100013b
job,0x100013c
I solve quests.,0x100013d
heal,0x100013e
Just now fully healed!,0x100013f
ques,0x1000140
My last quest took me near Spiritwood.<q>Art thou on a quest?<y>Best of luck to thee!<n>Oh.,0x1000141
horn,0x1000142
Some say that the small isles off the tip of Spiritwood are rumored to be ancient daemon graveyards!,0x1000143
Brother Antos,0x1000144
a wise druid,0x1000145
job,0x1000146
I hold great wisdom.,0x1000147
heal,0x1000148
I am getting old and frail.,0x1000149
wisd,0x100014a
What dost thou ask of me?,0x100014b
cand,0x100014c
Thou dost need a candle imbued with the spirit of love to enter the abyss.<q>Dost thou know where to find one?<y>Very good.<n>Meditate on love at our shrine.,0x100014d
Roland,0x100014e
a bandaged fighter,0x100014f
job,0x1000150
I quest.<q>Been ye to Spiritwood?<y>'Tis a spooky place.<n>Don't go!,0x1000151
heal,0x1000152
I'll live.,0x1000153
spir,0x1000154
"To capture their power, 'tis said thou must blow a daemon horn where their hordes have unleashed great evil and destruction!",0x1000155
horn,0x1000156
The horns of ancient daemons can be imbued to hold great power!,0x1000157
Robert Frasier,0x1000158
a stately baron,0x1000159
job,0x100015a
I rule this province.,0x100015b
heal,0x100015c
Very well.,0x100015d
prov,0x100015e
My Lady Beth can tell thee more!,0x100015f
word,0x1000160
I know but one of three syllables.<q>Dost thou wish to know it now?<y>It is 'ver'! Seek ye now the other parts!<n>Perhaps another time.,0x1000161
Beth Frasier,0x1000162
a charming lady,0x1000163
job,0x1000164
I rule with my Lord.,0x1000165
heal,0x1000166
Well.,0x1000167
rule,0x1000168
This province.,0x1000169
prov,0x100016a
Our people believe in truth as a way of life and live it to the fullest!<q>Dost thou seek truth?<y>Then may thou find it!<n>Then thou shalt not find it!,0x100016b
a guard,0x100016c
a sleepy guard,0x100016d
job,0x100016f
"Guard the gate, guard the baron, guard the baroness, watch the towers....",0x1000170
heal,0x1000171
Very sleepy.,0x1000172
guar,0x1000173
I have been here for hours!,0x1000174
hour,0x1000175
"Yes, many hours!<q>See why I'm tired?<y>It's hard work and long hours in the baronial guard!<n>Bum!",0x1000176
Palamar,0x1000177
a wise old sage,0x1000178
job,0x1000179
"I am an old wizard, but have much to show!",0x100017a
heal,0x100017b
My bones ache but my mind is sharp!,0x100017c
show,0x100017d
Here in my telescope!,0x100017e
tele,0x100017f
Look for an eyepiece there by the end.<q>Dost thou see where?<y>Look into the eyepiece and thou shalt see!<n>Look!!!,0x1000180
Father Antos,0x1000181
"an old druid, who looks strangely familiar",0x1000182
job,0x1000183
I hold great knowledge.,0x1000184
heal,0x1000185
"Old and frail, I've seen many quests!",0x1000186
know,0x1000187
What is it you seek?,0x1000188
book,0x1000189
Seek ye a book on the subject of truth where other books lie.<q>Found ye this book?<y>Now imbue it with the spirit of truth!<n>Seek it!,0x100018a
Jon,0x100018b
a brawny guard,0x100018c
job,0x100018d
I guard the throne room.,0x100018e
heal,0x100018f
Bit tired.,0x1000190
thro,0x1000191
Throne of truth!,0x1000192
trut,0x1000193
"There are four townes that follow the principle of truth.<q>Know which?<y>Good!<n>There are eight possible combinations of the three principles, there are eight cities!",0x1000194
Scatu,0x1000195
a tall mage wearing strange armour,0x1000196
job,0x1000197
I advise.,0x1000198
heal,0x1000199
Well!,0x100019a
advi,0x100019b
Thou would be well advised to visit the Seer often!,0x100019c
armo,0x100019d
"I wear mystic armour.<q>Art thou a partial avatar?<y>When thou art eight parts avatar, seek Zircon in Minoc and ask of mystics!<n>Alas.",0x100019e
Estro,0x100019f
a short druid,0x10001a0
job,0x10001a1
Research.,0x10001a2
heal,0x10001a3
"Why I am fine, you too I hope.",0x10001a4
rese,0x10001a5
I am looking for a book on the subject of  justice!,0x10001a6
just,0x10001a7
There must be one here somewhere!<q>Hast thou never committed *any* crime!?<y><@lose_humility>I believe thou art boasting a lie!<n><@gain_humility>Then speak to the judge in Yew!,0x10001a8
Tymus,0x10001a9
a stately wizard,0x10001aa
job,0x10001ab
To welcome thee!,0x10001ac
heal,0x10001ad
"Very well, thanks!",0x10001ae
welc,0x10001af
"Yes, welcome to the Lycaeum, the keep of truth!<q>Know ye how many cities follow the principles of truth?<y>How many?<n>Travel and learn!",0x10001b0
four,0x10001b1
The dungeon altar rooms need four stones each!,0x10001b2
a truth seeker.,0x10001b3
a person lost in thought,0x10001b4
job,0x10001b5
I seek to know truth.,0x10001b6
heal,0x10001b7
I am in a meditative state.,0x10001b8
trut,0x10001b9
The principle upon which I meditate.,0x10001ba
medi,0x10001bb
"Meditate at each shrine for one, two and three cycles. Then shalt thou know the paths of goodness!",0x10001bc
a fighter,0x10001bd
an injured warrior,0x10001be
job,0x10001bf
None now!,0x10001c0
heal,0x10001c1
My wounds are grievous!,0x10001c2
warr,0x10001c3
No more!,0x10001c4
woun,0x10001c5
I lost in a dungeon altar room!<q>Hast thou seen one?<y>Notice that each of the three rooms connect to four dungeons each!<n>They connect the dungeons unto each other!,0x10001c6
Lord Terence,0x10001c7
a tall agile man,0x10001c8
job,0x10001c9
I am the librarian.,0x10001ca
heal,0x10001cb
I am well.,0x10001cc
libr,0x10001cd
Herein is the largest store of knowledge in Britannia except the codex!<q>Art thou looking for a book?<y>Which book?<n>Feel free to browse.,0x10001ce
trut,0x10001cf
There are many books here on the subject of truth. Look under 't'.,0x10001d0
Zajac,0x10001d1
a flighty jester,0x10001d2
job,0x10001d3
To entertain!,0x10001d4
heal,0x10001d5
Unhappy.,0x10001d6
ente,0x10001d7
"Ah, not now.",0x10001d8
unha,0x10001d9
Because my friend Chuckles won't tell me his secret!<q>Dost thou know chuckles?<y>Why dost thou not ask him for his clue!<n>He lives in the castle Britannia. Ask him of his clue!,0x10001da
Catriona,0x10001db
a strong guard,0x10001dc
job,0x10001dd
To watch the treasures.,0x10001de
heal,0x10001df
Very good.,0x10001e0
trea,0x10001e1
The treasures are of great value!,0x10001e2
valu,0x10001e3
"Yes, much gold.<q>Dost thou intend to steal?<y>I am required to stop thee.<n>Good, thou had me worried!",0x10001e4
"Nigel, at thy service.",0x10001e5
a noble wizard,0x10001e6
job,0x10001e7
I teach magical spells.,0x10001e8
heal,0x10001e9
Good enough.,0x10001ea
spel,0x10001eb
I have a specialty!<q>Dost thou know what it is?<y>What do I call the spell?<n>Sorry.,0x10001ec
reca,0x10001ed
"Yes, resurrection. It takes ash, ginseng, garlic, silk, bloodmoss, and mandrake!",0x10001ee
Shylock the Meek,0x10001ef
a pitiful beggar,0x10001f0
job,0x10001f2
I sit and beg oh... please...,0x10001f3
heal,0x10001f4
I am cold and sick! oh... please...<q>Wilt thou help me? Oh... please...<y>Oh... please...<n>Oh... please...,0x10001f5
beg,0x10001f6
"Yes, please give me money! Oh... please...",0x10001f7
sick,0x10001f8
I have the black plague!,0x10001f9
Cally,0x10001fa
a person lost in thought,0x10001fb
job,0x10001fc
I ponder the depths of the well of truth.,0x10001fd
heal,0x10001fe
Contemplative.,0x10001ff
well,0x1000200
It is more than just a deep-sea well.<q>Seek ye this well?<y>Find it northeast of Serpent's Castle.<n>Typical.,0x1000201
trut,0x1000202
The well is said to be the source of knowledge in this world.,0x1000203
Sentri,0x1000204
a stately baron,0x1000205
job,0x1000206
I rule this province.,0x1000207
heal,0x1000208
Very well.,0x1000209
prov,0x100020a
"Yes, these islands and much more.",0x100020b
word,0x100020c
"I know but one of three syllables-'cor'.<q>Dost thou know the four cities of courage?<y>Very good.<n>They are Jhelom, Minoc, Trinsic and Skara Brae.",0x100020d
the gate guard.,0x100020e
a very big guard,0x100020f
job,0x1000210
"Guard the gates, of course.",0x1000211
heal,0x1000212
Very strong!,0x1000213
gate,0x1000214
These are the gates to Serpent castle.,0x1000215
guar,0x1000216
"Guard, watch, protect.<q>Art thou here to find courage?<y>Then thou art at the right place.<n>Then perhaps to become a guard!",0x1000217
Lassorn,0x1000218
a wounded sailor,0x1000219
job,0x100021a
I am a sailor.,0x100021b
heal,0x100021c
I alone survived the shipwreck.,0x100021d
ship,0x100021e
The H.M.S. Cape.<q>Ever heard of her?<y>She had a courageous crew!<n>She was a mighty vessel!,0x100021f
whee,0x1000220
She went down in the deep waters of the bay in the Cape of Heroes!,0x1000221
Roark,0x1000222
a seasoned fighter,0x1000223
job,0x1000224
I fight for Britannia!,0x1000225
heal,0x1000226
Just healed.<q>Art thou well?<y>Then strive to find the secrets of the abyss.<n>Thou hast come to the right place.,0x1000227
abys,0x1000228
The Great Stygian Abyss holds the codex of ultimate wisdom!,0x1000229
code,0x100022a
I know little.,0x100022b
a ranger.,0x100022c
a ranger engrossed in training,0x100022d
job,0x100022e
I am training!,0x100022f
heal,0x1000230
Excellent.,0x1000231
trai,0x1000232
I train so that I might survive the dungeons!,0x1000233
dung,0x1000234
"I plan to conquer the secret of the altar rooms.<q>Dost thou?<y>Ask our teacher about the rooms, for she knowns much!<n>Wimp.",0x1000235
Shyra,0x1000236
the training master,0x1000237
job,0x1000238
I train warriors to fight with courage!,0x1000239
heal,0x100023a
Prime.,0x100023b
trai,0x100023c
Train well and thy courage can grow with confidence.<q>Wilt thou train?<y>Bravo!<n>Pity.,0x100023d
room,0x100023e
"In the altar room of courage use the red, orange, purple and white stones!",0x100023f
a baronial guard,0x1000240
a stern guard,0x1000241
job,0x1000242
I guard our lord,0x1000243
heal,0x1000244
Most good.,0x1000245
lord,0x1000246
"Sentri rules this castle.<q>Dost thou wish an audience with Sentri?<y>Granted, enter.<n>Then do not disturb him.",0x1000247
cast,0x1000248
This castle is built on courage.,0x1000249
a treasure guard,0x100024a
a burly guard,0x100024b
job,0x100024c
We guard our lord's treasure.,0x100024d
heal,0x100024e
Excellent.,0x100024f
trea,0x1000250
This treasure is not for thee<q>Dost thou intend to steal our lord's treasure?<y>Fool!<n>Wise move!,0x1000251
dung,0x1000252
Seek out Durham for knowledge of dungeons.,0x1000253
Garam,0x1000254
a bold fighter,0x1000255
job,0x1000256
I fight with courage!<q>Dost thou?<y>Good.<n>Then train!,0x1000257
heal,0x1000258
Quite well.,0x1000259
cour,0x100025a
Courage makes kings out of knaves!,0x100025b
bell,0x100025c
Seek ye where the courageous train!,0x100025d
Durham,0x100025e
a tall fighter,0x100025f
job,0x1000260
I quest for glory!,0x1000261
heal,0x1000262
Fairly well.,0x1000263
ques,0x1000264
I feel that when on a quest my life has purpose!<q>Art thou on a quest?<y>Then thy life has meaning!<n>What a loss.,0x1000265
dung,0x1000266
The altar room of courage gives the third part of a key.,0x1000267
Lori,0x1000268
a buxom guard,0x1000269
job,0x100026a
I guard this passage.<q>Art thou looking for someone?<y>Who?<n>Then be on thy way!,0x100026b
heal,0x100026c
"So far, so good.",0x100026d
gara,0x100026e
He is in the west chamber.,0x100026f
durh,0x1000270
He is in the east chamber.,0x1000271
Samuel,0x1000272
a handsome guard,0x1000273
job,0x1000274
I guard this passage.<q>Art thou looking for someone?<y>Who?<n>Then be on thy way!,0x1000275
heal,0x1000276
"So far, so good.",0x1000277
gara,0x1000278
He is in the west chamber.,0x1000279
durh,0x100027a
He is in the east chamber.,0x100027b
Roderick,0x100027c
"a destitute, stinking beggar",0x100027d
job,0x100027f
I cannot work.,0x1000280
heal,0x1000281
I've lost a hand!,0x1000282
hand,0x1000283
It was eaten by a zorn.<q>Wilt thou give me gold?<y>Thou art kind.<n>Stingy!,0x1000284
orbs,0x1000285
"Dungeon orbs will raise thy strength, dexterity or intelligence, but at a cost!",0x1000286
Sister Antos,0x1000287
a wise druid,0x1000288
job,0x1000289
I have important information.,0x100028a
heal,0x100028b
Well enough.,0x100028c
info,0x100028d
On what subject?,0x100028e
bell,0x100028f
"A bell from the foundations of courage is needed to enter the abyss.<q>Dost thou have one?<y>Seek ye to imbue it with the spirit of courage.<n>Then ask Garam, for he can help thee!",0x1000290
Noxum,0x1000291
a spiny nixie!,0x1000292
job,0x1000293
I swim the seas!,0x1000294
heal,0x1000295
Nice and wet!,0x1000296
seas,0x1000297
There are many ships at the bottom!,0x1000298
ship,0x1000299
A survivor would know where to search.<q>Hast thou heard of the H.M.S. Cape?<y>The hull of any ship that nears her wreckage becomes magically strengthened!<n>She had a magical wheel that would strengthen her hull!,0x100029a
Michelle,0x100029b
a beautiful paladin!,0x100029c
job,0x100029d
I welcome thee unto Serpent Castle!,0x100029e
heal,0x100029f
"Very well.<q>Art thou well?<y>Very good, perhaps thou seeks Sentri.<n>Then thou should visit Windwalker!",0x10002a0
sent,0x10002a1
"He is the lord here, take the north passage.",0x10002a2
wind,0x10002a3
"Windwalker is our healer, found straight ahead and on the right.",0x10002a4
Roofus,0x10002a5
a mean looking guard,0x10002a6
job,0x10002a8
We guard the bridge slime!,0x10002a9
heal,0x10002aa
What's it to ya scumpuppy!,0x10002ab
brid,0x10002ac
This bridge ya stupid jerk!<q>Art thou a wise &##!?<y>Thou had best ditch it then!<n>Then just buzz off!,0x10002ad
Rankbreath,0x10002ae
"a tall, muscular, impressive guard",0x10002af
job,0x10002b1
I am a guard.,0x10002b2
heal,0x10002b3
Very hungry!,0x10002b4
guar,0x10002b5
I guard the city!,0x10002b6
hung,0x10002b7
"Yes, I am very hungry!<q>Art thou here to feed me?<y>I am grateful.<n>Then thou had better run!!!",0x10002b8
Sailor,0x10002b9
a scruffy sailor,0x10002ba
job,0x10002bb
I am a sailor!,0x10002bc
heal,0x10002bd
Salty.,0x10002be
sail,0x10002bf
"Oh, a sailor's life is the life for me...",0x10002c0
life,0x10002c1
"As I sail across the bounding sea!<q>The rest?<y>And never ever ever do I worry 'bout the weather, for the weather never ever did a thing for me!<n>Oh.",0x10002c2
Silver John,0x10002c3
a tall sailor,0x10002c4
job,0x10002c5
I'm a pirate matey!,0x10002c6
heal,0x10002c7
"Good enough, eh!",0x10002c8
pira,0x10002c9
"We raid the coasts of Britannia, fun eh!<q>Art thou a pirate?<y><@lose_humility>Good matey!<n><@gain_humility>Thou had best leave this place 'fore there's any trouble!",0x10002ca
raid,0x10002cb
Pillage and burn!,0x10002cc
Slysam,0x10002cd
a nimble thief,0x10002ce
job,0x10002cf
What's it to thee?,0x10002d0
heal,0x10002d1
As good as I need be!,0x10002d2
thie,0x10002d3
"Yea, and clever too.",0x10002d4
clev,0x10002d5
"Thou dost ask too many questions!<q>Art thou a thief?<y>Oh, I'd better watch out!<n>Just as I thought",0x10002d6
Ragnar,0x10002d7
a solemn ranger,0x10002d8
job,0x10002d9
I travel.,0x10002da
heal,0x10002db
O.K.,0x10002dc
trav,0x10002dd
The lands of Britannia.<q>Art thou here looking for information?<y>On what?<n>Then buzz off.,0x10002de
shar,0x10002df
"Be warned that if thou dost ever use a shard from Mondain's Gem, except to destroy it, all thy virtues will be lost!",0x10002e0
Seanna,0x10002e1
a slinky mage,0x10002e2
job,0x10002e3
"I am a sorceress<q>My dear friend, may I help you?<y>How about with thy magic?<n>Ah",0x10002e4
heal,0x10002e5
I am well.,0x10002e6
magi,0x10002e7
How about the sleep spell... sleep... sleep....,0x10002e8
slee,0x10002e9
A sleep spell requires but one part silk! sleep... sleep... sleep...,0x10002ea
Jeremy James Scirlock,0x10002eb
a sneaky thief!,0x10002ec
job,0x10002ed
At thy service!,0x10002ee
heal,0x10002ef
Very well!,0x10002f0
serv,0x10002f1
How about information?<q>Dost thou seek a special dungeon?<y>Which?<n>I cannot help thee.,0x10002f2
hyth,0x10002f3
The dungeon Hythloth can be reached by a secret entrance in the great castle.,0x10002f4
Starlight,0x10002f5
a mage dressed all in black,0x10002f6
job,0x10002f7
I use black magic!,0x10002f8
heal,0x10002f9
Dark indeed.,0x10002fa
magi,0x10002fb
I cast powerful magic missile spells.<q>Dost thou?<y>Thou should try my mix of reagents!<n>Too bad.,0x10002fc
mix,0x10002fd
Try one black pearl and one part sulfurous ash!,0x10002fe
Brigant,0x10002ff
a big fat troll,0x1000300
job,0x1000302
"Aw, buzz off!",0x1000303
heal,0x1000304
Shove it!<q>Did thou hear me?<y>Then do it!<n>I said shove it!,0x1000305
it,0x1000306
Thy face!,0x1000307
Boris,0x1000308
an ugly orc!,0x1000309
job,0x100030a
I smuggle black market items.,0x100030b
heal,0x100030c
Good'n smelly.,0x100030d
item,0x100030e
"Magic keys, magic gems, that sort of thing.<q>Dost thou need such an item?<y>I just gave the guild shop a new supply!<n>Ah well, maybe next time.",0x100030f
Ignap,0x1000310
a towering wizard,0x1000311
job,0x1000312
I must warn thee!,0x1000313
heal,0x1000314
Adequate.,0x1000315
warn,0x1000316
To step into those woods will seal thy doom!,0x1000317
doom,0x1000318
"In there lies the dark side, enter not!<q>Shalt thou go on?<y>Evil shall consume thee!<n>Wise decision!",0x1000319
Green Beard,0x100031a
a tall pirate with a green beard!,0x100031b
job,0x100031c
I'm buying armour for my crew!,0x100031d
heal,0x100031e
Jolly good mate!,0x100031f
armo,0x1000320
I hope to get some magical plate!<q>Know where to buy mystic armour?<y>Where?<n>Wish I did!,0x1000321
nowh,0x1000322
"Oh, I see.",0x1000323
Marsor,0x1000324
a plump merchant,0x1000325
job,0x1000326
I sell wine!,0x1000327
heal,0x1000328
Great!,0x1000329
wine,0x100032a
